dataset,method,model,mean,q90,std,raw
breastw,CV+,IForest,0.185,0.309,0.093,"[0.25854, 0.08729, 0.21867, 0.11989999999999999, 0.26456, 0.18938, 0.3119, 0.25031, 0.14698, 0.28099999999999997, 0.26461, 0.12631, 0.33298, 0.17819, 0.15193, 0.08934, 0.040119999999999996, 0.23004, 0.27428, 0.030549999999999997, 0.09708, 0.09194, 0.13749, 0.16654, 0.32929, 0.26867, 0.15406, 0.24931, 0.24566, 0.18943, 0.28021, 0.20982, 0.27371, 0.08591, 0.30846, 0.26224, 0.22525, 0.15842, 0.22294, 0.34768, 0.02073, 0.003, 0.07543, 0.07348, 0.09834999999999999, 0.19661, 0.18529, 0.24719, 0.20214, 0.05539, 0.32762, 0.0, 0.20502, 0.25745, 0.27324, 0.03939, 0.30165, 0.13754, 0.18433, 0.2098, 0.1864, 0.31688, 0.11888, 0.32242, 0.30402, 0.12531, 0.14123, 0.23359, 0.34321, 0.15144, 0.08685, 0.18351, 0.08799, 0.31716, 0.04481, 0.28687, 0.18489, 0.14497, 0.04875, 0.08415, 0.04281, 0.22552, 0.038579999999999996, 0.19577, 0.2726, 0.19666, 0.08893, 0.07273, 0.09193, 0.0742, 0.27998, 0.28876999999999997, 0.25157, 0.30437, 0.17779999999999999, 0.10506, 0.11959, 0.14328, 0.36872, 0.21326]"
breastw,CV+,LOF,0.1,0.268,0.108,"[0.11485000000000001, 0.01858, 0.11533, 0.11762, 0.027520000000000003, 0, 0.27208, 0.022590000000000002, 0.08676, 0.05709, 0.014719999999999999, 0, 0.007149999999999999, 0.22001, 0.00829, 0.0426, 0.27253, 0.08143, 0.188, 0.0925, 0.12566, 0.02205, 0.00417, 0.008, 0.03681, 0.035699999999999996, 0, 0.06128, 0.18298, 0.05141, 0, 0, 0, 0.22049, 0.00965, 0.006, 0.008, 0.23639, 0, 0.12127, 0, 0, 0, 0.1283, 0.16042, 0, 0.12081, 0.10099, 0.10915, 0, 0.24207, 0, 0.05992, 0.049999999999999996, 0, 0.17788, 0.11046, 0.0042899999999999995, 0, 0, 0.22343, 0.006, 0.3718, 0.08131, 0.10036, 0.2643, 0.36546, 0.021, 0.17118, 0.35657, 0, 0.10422000000000001, 0.002, 0.088, 0.29566, 0.22407, 0, 0.27246, 0.24321, 0.21289, 0.07779, 0.12869, 0, 0.21365, 0, 0.015729999999999997, 0.18665, 0.26743, 0, 0.0042899999999999995, 0.31426, 0.3815, 0.04993, 0.16561, 0.31694, 0.00629, 0.11689000000000001, 0.17965, 0.06, 0]"
breastw,CV+,PCA,0.138,0.311,0.113,"[0.10834, 0.01884, 0.09121, 0.07464, 0.32232, 0.0, 0.16264, 0.11826, 0.00888, 0.37625, 0.003, 0.08752, 0.0, 0.059, 0.10598, 0.17556, 0.0, 0.1432, 0.32105, 0.20726, 0.21838, 0.07690999999999999, 0.1039, 0.10744, 0.094, 0.00861, 0.047209999999999995, 0.08843, 0.21916, 0.30316, 0.2026, 0.052860000000000004, 0.11309, 0.05854, 0.054430000000000006, 0.26122, 0.28583, 0.25744, 0.03664, 0.21305, 0.01823, 0.05111, 0.15477, 0.04716, 0.22155, 0.0, 0.10606, 0.06285, 0.1782, 0.0, 0.30624, 0.0, 0.14282999999999998, 0.21572, 0.09435, 0.11291, 0.0, 0.20472, 0.08992, 0.08232, 0.33145, 0.17481, 0.08166, 0.25214, 0.16603, 0.35291, 0.32972, 0.13081, 0.0147, 0.30781, 0.04821, 0.02891, 0.09261, 0.34415, 0.38126, 0.09056, 0.06512, 0.06454, 0.1653, 0.24516, 0.0, 0.09197999999999999, 0.00522, 0.043660000000000004, 0.26179, 0.0, 0.0802, 0.28698, 0.06128, 0.09952, 0.26519, 0.27702, 0.41288, 0.21316, 0.01188, 0.30994, 0.044109999999999996, 0.00222, 0.08445, 0.34996]"
wbc,SC,IForest,0.119,0.355,0.153,"[0.21914, 0.03, 0, 0.11466, 0, 0.44443, 0, 0, 0.3334, 0, 0.04, 0, 0.27488, 0.04622, 0.03, 0.24213, 0, 0.28601, 0.03788, 0.006999999999999999, 0.1635, 0.145, 0, 0.17944, 0.37836, 0.26163000000000003, 0, 0.05071, 0.0325, 0, 0.0375, 0, 0.04622, 0.5431199999999999, 0.19477999999999998, 0.045, 0.17684, 0.152, 0.27321, 0.055, 0, 0.14127, 0.65091, 0.39499, 0, 0, 0.34384, 0.2395, 0.0475, 0.10571, 0, 0, 0.02, 0.5594, 0.0755, 0.045, 0.38785000000000003, 0, 0, 0, 0.12846, 0, 0, 0.0545, 0.04669, 0.0675, 0.1045, 0, 0.223, 0.49577, 0, 0, 0.1375, 0, 0.04, 0.10447, 0.025, 0, 0.16441999999999998, 0.1795, 0, 0, 0.27914, 0.23482999999999998, 0.0375, 0, 0, 0.1333, 0.097, 0, 0, 0, 0.065, 0.35749, 0, 0.16555999999999998, 0.035, 0, 0.50156, 0.35435]"
wbc,SC,LOF,0.13,0.316,0.126,"[0.181, 0.20750000000000002, 0.24297999999999997, 0.2545, 0, 0.045, 0.16979, 0, 0, 0.1585, 0, 0.045, 0.0425, 0.075, 0.11463, 0.21088, 0.121, 0.1845, 0.24521, 0.10250000000000001, 0.17181, 0, 0.27071, 0, 0.16188, 0, 0.39322999999999997, 0.0475, 0, 0, 0, 0.16921, 0.30503, 0, 0.32871, 0.04, 0.256, 0.0675, 0.4257, 0, 0.21661, 0.116, 0.04, 0.25426, 0.17526, 0.167, 0.3808, 0.06392, 0.31497, 0, 0.2155, 0.26734, 0.1295, 0.05, 0, 0.065, 0.05, 0, 0.053919999999999996, 0, 0.18033, 0.15785, 0.020999999999999998, 0.09159, 0.24192, 0, 0.16713, 0, 0.28847, 0.27609, 0.2405, 0.055, 0.10876999999999999, 0, 0, 0.1885, 0.10200000000000001, 0.105, 0, 0.11642, 0, 0.44969, 0.32042, 0, 0.1, 0, 0.32277, 0, 0, 0, 0, 0.045, 0, 0.3534, 0.065, 0.066, 0.33613, 0.24571, 0.49593, 0.24006]"
wbc,SC,PCA,0.097,0.263,0.119,"[0, 0.21316, 0, 0.30032, 0.045, 0, 0, 0.20413, 0.056, 0, 0.0725, 0, 0.07627, 0.065, 0.081, 0, 0.017849999999999998, 0.06534, 0.06721, 0.09373, 0.2464, 0, 0.21759, 0, 0.28671, 0.17500000000000002, 0.08211, 0.0525, 0.1485, 0.005, 0.23268, 0, 0.38869, 0.01142, 0.02, 0, 0.26251, 0.5107, 0, 0, 0, 0.17371999999999999, 0.134, 0.03997, 0.117, 0, 0.0995, 0.265, 0, 0.15481999999999999, 0.1045, 0, 0, 0.053219999999999996, 0, 0.025, 0.082, 0.181, 0, 0, 0.06906, 0.04305, 0.020999999999999998, 0, 0.13462, 0.1045, 0.14913, 0.10763, 0.0465, 0.02284, 0.0785, 0.19867, 0.006999999999999999, 0, 0.25, 0, 0.02463, 0.35953999999999997, 0.13942, 0.0075, 0.41465, 0, 0, 0.23002999999999998, 0, 0.28478, 0.115, 0, 0.01, 0.05, 0.00571, 0.045, 0.01713, 0.171, 0, 0.01142, 0.044, 0.46297, 0.20375000000000001, 0.41516]"
wbc,J,IForest,0.141,0.342,0.132,"[0.0, 0.0, 0.0, 0.0, 0.16763, 0.08048, 0.0875, 0.1709, 0.0, 0.028, 0.0575, 0.0425, 0.39446, 0.13572, 0.0, 0.30212, 0.07999, 0.41887, 0.0, 0.07414, 0.15771000000000002, 0.02, 0.35455000000000003, 0.1985, 0.08579, 0.0, 0.0625, 0.0, 0.059500000000000004, 0.13203, 0.34037, 0.26592, 0.13263, 0.0, 0.0, 0.20124999999999998, 0.11850000000000001, 0.39605, 0.1835, 0, 0.17267000000000002, 0.14264000000000002, 0.0985, 0.44516, 0.1135, 0.38928, 0.48253999999999997, 0.006999999999999999, 0, 0.14719000000000002, 0.20980000000000001, 0.0795, 0.052000000000000005, 0.21392, 0.22942, 0.083, 0.1525, 0.22032000000000002, 0.0, 0.0, 0.05917, 0, 0.47184, 0.27538, 0.12584, 0.14779, 0.14150000000000001, 0.1605, 0.2962, 0.0, 0.07150000000000001, 0.0575, 0.17243, 0.0, 0.04, 0.08157, 0.0, 0.07498, 0.05, 0.2155, 0.23478000000000002, 0.31596, 0.0, 0.096, 0.0, 0.35072, 0.24751, 0.1008, 0.08564000000000001, 0.12882, 0.0, 0.1195, 0.30415000000000003, 0.10064000000000001, 0, 0.47066, 0.34076, 0.25818, 0.31982, 0.15879000000000001]"
wbc,J,LOF,0.139,0.324,0.122,"[0.24033000000000002, 0.26716, 0.0, 0.0585, 0.0, 0.0325, 0.13333, 0.083, 0.09996000000000001, 0.183, 0.0, 0.064, 0.069, 0.074, 0.15359, 0.22166, 0.44258, 0.04821, 0.115, 0.17980000000000002, 0.07668, 0.1125, 0.3829, 0.0, 0.0, 0.11578000000000001, 0.23635, 0.254, 0.0, 0.0365, 0.12858, 0.11912, 0.32995, 0.09731000000000001, 0.20698, 0.1633, 0.09781000000000001, 0.34149, 0.10064000000000001, 0.01, 0.23501, 0.31313, 0.0, 0.0695, 0.084, 0.50196, 0.0965, 0.14879, 0.22718, 0.0, 0.17048, 0.19683, 0.065, 0.0, 0.0, 0.15883, 0.051000000000000004, 0.1898, 0.0025, 0.064, 0.047, 0.10853, 0.030670000000000003, 0.0, 0.45394, 0.24602, 0.26868, 0.09498, 0.104, 0.08166999999999999, 0.26687, 0.145, 0.0175, 0.24845, 0.0, 0.3236, 0.0, 0.36334, 0.135, 0.16271, 0.06, 0.09497, 0.19265, 0.0, 0.15083, 0.07329000000000001, 0, 0.19837, 0.0, 0.17653, 0.0475, 0.022000000000000002, 0.20114, 0.01, 0.16949, 0.43163999999999997, 0.10573, 0.34122, 0.41926, 0.23633]"
wbc,J,PCA,0.111,0.288,0.118,"[0.0, 0.0, 0.154, 0.0, 0.0, 0, 0.0685, 0.0, 0.035, 0.26781, 0, 0.0215, 0.14371, 0, 0.38416, 0.04, 0.15281, 0.23192000000000002, 0.0, 0.035, 0.06052, 0.1499, 0.0275, 0.06392, 0.0, 0.0, 0.11121, 0.32334, 0.0475, 0.116, 0.12871, 0.0, 0.27053, 0.055, 0, 0.24295, 0.33663, 0.08900000000000001, 0.12076, 0.0, 0.1015, 0.104, 0.20008, 0.40432, 0.113, 0.0072699999999999996, 0.0, 0.0175, 0, 0.2672, 0.146, 0.029979999999999996, 0.22975, 0.024, 0.036000000000000004, 0.22464, 0.33022, 0.0, 0.1805, 0.0, 0.18843, 0.08848, 0.0, 0.0, 0.068, 0.35799, 0.07400000000000001, 0.0, 0.20042, 0.1405, 0.28612, 0.20359, 0.06151, 0.0, 0.3551, 0.23541, 0, 0, 0.26582, 0.06984, 0.045, 0.30159, 0.0575, 0.13242, 0.035, 0, 0.07438, 0.00571, 0.053, 0.055, 0.05, 0.0, 0.02071, 0.0, 0.28026999999999996, 0.092, 0.21863000000000002, 0.35673, 0.18104, 0.45502]"
wbc,J+,IForest,0.146,0.348,0.133,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.16763, 0.08048, 0.11800000000000001, 0.0875, 0.1709, 0.08621999999999999, 0.0575, 0.13432, 0.0, 0.30832, 0.0975, 0.0, 0.30212, 0.41970999999999997, 0.07414, 0.12271, 0.38802, 0.02, 0.08913, 0.15895, 0.0, 0.0, 0.108, 0.032, 0.05998, 0.3432, 0.13263, 0.27605, 0.0, 0.0, 0.18692, 0.195, 0.1835, 0.39755, 0.024, 0.06867, 0.15596000000000002, 0.5041, 0.128, 0.1135, 0.44591000000000003, 0.39928, 0.025419999999999998, 0.14719000000000002, 0.045, 0.20980000000000001, 0.21392, 0.1145, 0.0, 0.22242, 0.083, 0.21366000000000002, 0.0, 0.1545, 0.0, 0.0, 0.34706, 0.19717, 0.48079, 0.223, 0.14779, 0.08513, 0.15649000000000002, 0.0, 0.3517, 0.0575, 0.119, 0.14393, 0.0, 0.07498, 0.12769, 0.04, 0.065, 0.05, 0.23550000000000001, 0.0, 0.23019, 0.34406, 0.32097, 0.25601, 0.036000000000000004, 0.0, 0.124, 0.11882000000000001, 0.08898, 0, 0.1195, 0.34247, 0.0, 0.10064000000000001, 0.32031, 0.47316, 0.36048, 0.2644, 0.17679]"
wbc,J+,LOF,0.138,0.324,0.121,"[0.0, 0.24033000000000002, 0.083, 0.183, 0.07050000000000001, 0.26716, 0.13333, 0.09996000000000001, 0.0325, 0.0, 0.069, 0.064, 0.115, 0.44258, 0.15292, 0.0, 0.21499000000000001, 0.00571, 0.065, 0.17980000000000002, 0.11578000000000001, 0.35507, 0.07668, 0.1125, 0.0, 0.23635, 0.0, 0.0, 0.25133, 0.0365, 0.12631, 0.11912, 0.32995, 0.09865, 0.1633, 0.20698, 0.09781000000000001, 0.10064000000000001, 0.34149, 0.01, 0.31313, 0.0, 0.084, 0.19751, 0.0695, 0.50196, 0.14879, 0.22718, 0.0965, 0.0, 0.17048, 0.065, 0.19683, 0.0, 0.0, 0.18716, 0.051000000000000004, 0.1898, 0.0025, 0.064, 0.047, 0.030670000000000003, 0.45394, 0.1102, 0.0, 0.23052, 0.09498, 0.26868, 0.104, 0.08166999999999999, 0.26687, 0.145, 0.24845, 0.0175, 0.0, 0.36334, 0.3236, 0.0, 0.135, 0.18471, 0.06, 0.0, 0.19265, 0.15083, 0.09497, 0, 0.19837, 0.07329000000000001, 0.0, 0.17653, 0.0475, 0.01, 0.20114, 0.022000000000000002, 0.1485, 0.34122, 0.10502, 0.43163999999999997, 0.41926, 0.23633]"
wbc,J+,PCA,0.109,0.281,0.117,"[0.0, 0.0, 0.0, 0.025, 0.2753, 0, 0.0, 0.154, 0.0, 0.055, 0, 0.14371, 0.38716, 0.0215, 0.0, 0.20792, 0.1145, 0.04, 0, 0.035, 0.05968, 0.0275, 0.1499, 0.32334, 0.06392, 0.0, 0.11121, 0.116, 0.0, 0.0475, 0.12871, 0.055, 0.23806, 0.24295, 0.0, 0, 0.08900000000000001, 0.33663, 0.0, 0.12076, 0.104, 0.1015, 0.20008, 0.40432, 0.113, 0.0, 0.0072699999999999996, 0, 0.2672, 0.0175, 0.146, 0.029979999999999996, 0.22975, 0.024, 0.036000000000000004, 0.20464, 0.1805, 0.33022, 0.0, 0.0, 0.08848, 0.18943, 0.0, 0.068, 0.33199, 0.0, 0.0, 0.07400000000000001, 0.1405, 0.20042, 0.28612, 0.06151, 0.0, 0.20359, 0, 0.3551, 0, 0.23541, 0.26582, 0.06984, 0.045, 0.26658, 0.11242, 0.00571, 0.035, 0.07438, 0, 0.053, 0.055, 0.0575, 0.05, 0.092, 0.0, 0.02071, 0.21863000000000002, 0.0, 0.35673, 0.28026999999999996, 0.17149, 0.45502]"
wbc,CV,IForest,0.135,0.329,0.128,"[0.1858, 0.0348, 0.0, 0.0, 0.35502, 0.0, 0.0, 0.0, 0.0, 0.08650000000000001, 0.08671999999999999, 0.0, 0.0, 0.0425, 0.08081, 0.20081000000000002, 0.35323, 0.21942, 0.20348, 0, 0.31463, 0.0, 0.1887, 0.1095, 0.15499000000000002, 0.18971000000000002, 0.247, 0.0, 0.0, 0.06165, 0.14863, 0.3147, 0.34287, 0.0, 0.22, 0.1835, 0.16734, 0.34426, 0.0, 0.055, 0.37566, 0.113, 0.12871, 0.06, 0.006999999999999999, 0.1475, 0.089, 0.39107000000000003, 0.46815, 0.0, 0.21381, 0.12206, 0.0795, 0.23371, 0.10964, 0.1878, 0.17864, 0.02855, 0.0, 0.0, 0.0, 0.30594, 0.33281, 0.15783, 0.04909, 0.1365, 0.08948, 0.075, 0.0, 0.43573, 0.0, 0.119, 0.21792, 0.065, 0.2182, 0.0, 0.02, 0.032, 0.05, 0.08299000000000001, 0.0, 0.129, 0.25095, 0.32097, 0.0, 0.0, 0.27026, 0.16081, 0.11882000000000001, 0.08898, 0.0, 0.0, 0.32815, 0.10064000000000001, 0.482, 0.0, 0.27176, 0.26164, 0.22672, 0.27134]"
wbc,CV,LOF,0.126,0.26,0.117,"[0.12264, 0.0, 0.15816, 0.14332, 0.20800000000000002, 0.24864, 0.0, 0.10633000000000001, 0.09079, 0.08331, 0.012, 0.0, 0.14914, 0.0, 0.16611, 0.048, 0.11562, 0.0, 0.16982, 0.4209, 0.09249, 0.23635, 0.0, 0.0845, 0.11578000000000001, 0.0, 0.26957, 0.014, 0.0, 0.254, 0.11549, 0.2175, 0.26271, 0.1633, 0.11063, 0.20098, 0.0195, 0.01, 0.14721, 0.129, 0.08987, 0.12064, 0.25929, 0.112, 0.4992, 0.01, 0.0965, 0.22052, 0.09715, 0.0, 0.0175, 0.065, 0.0, 0.14881, 0.0, 0.19879, 0.09248, 0.0195, 0.051000000000000004, 0.0025, 0.0, 0.1757, 0.07067, 0.45263, 0.09498, 0.0, 0.19519, 0.24868, 0.04621, 0.08338, 0.27449, 0.0, 0.20683, 0.0, 0.08414, 0.25675, 0.2041, 0.18033, 0.13298000000000001, 0.0, 0.06, 0.10847, 0.19265, 0.0, 0.18163, 0, 0.17506, 0.0, 0.06997, 0.25654, 0.02, 0.029500000000000002, 0.17949, 0.2634, 0.35122, 0.12894, 0.0, 0.45314, 0.44871, 0.23465]"
wbc,CV,PCA,0.105,0.292,0.118,"[0.0, 0.0, 0, 0.0, 0.1685, 0, 0.0, 0.08650000000000001, 0, 0.26781, 0, 0.013999999999999999, 0.18836, 0.04, 0.22343, 0, 0.15448, 0.14292, 0.0, 0.0535, 0.11191, 0.16575, 0.0325, 0.32334, 0.15759, 0.0, 0.0, 0.11738, 0.04, 0.1495, 0.0, 0.12871, 0.33703, 0.016, 0, 0.26212, 0.06026, 0, 0.0, 0.33663, 0.1015, 0.104, 0.17899, 0.0, 0, 0, 0.0072699999999999996, 0.431, 0.0175, 0.27137, 0.1815, 0.024, 0.20971, 0.04998, 0.0, 0.02, 0.07100000000000001, 0.22464, 0.32159, 0.06, 0.10266, 0.28099999999999997, 0.12138, 0.0, 0.0, 0.06971000000000001, 0.0, 0.07400000000000001, 0.1105, 0.20263, 0.0, 0.22188, 0.006670000000000001, 0.27545000000000003, 0, 0.23329, 0.31688, 0, 0.26582, 0.06984, 0.01142, 0.02342, 0, 0, 0, 0.0, 0.08885, 0.115, 0.0895, 0.1085, 0.0625, 0.0, 0.0395, 0.02071, 0.0, 0.3029, 0.29027, 0.32281, 0.31538, 0.45581]"
wbc,CV+,IForest,0.138,0.335,0.129,"[0.01713, 0.0, 0.0, 0.0, 0.16763, 0.028, 0.045, 0.31644, 0.0, 0.0, 0.38534999999999997, 0.22122, 0.08081, 0.0, 0.0975, 0.0, 0, 0.16266, 0.26813, 0.07414, 0.24771, 0.15499000000000002, 0.0, 0.0, 0.0, 0.23355, 0.15871, 0.15895, 0.1095, 0.05998, 0.14863, 0.3127, 0.23355, 0.0, 0.0685, 0.34528, 0.195, 0.33926, 0.14350000000000002, 0.0, 0.034, 0.33516, 0.131, 0.14264000000000002, 0.1135, 0.52477, 0.42061, 0.013999999999999999, 0.12000000000000001, 0.02, 0.21348, 0.08121, 0.00571, 0.062, 0.065, 0.22871, 0.22032000000000002, 0.16616, 0.0, 0.0, 0.0, 0.33456, 0.12771, 0.18763, 0.036000000000000004, 0.1765, 0.12448000000000001, 0.18288000000000001, 0.0, 0.3932, 0.0575, 0.19292, 0.119, 0.0, 0.12152, 0.065, 0.032, 0.08496000000000001, 0.05, 0.23584, 0.0, 0.23978, 0.34622, 0.0, 0.0, 0.32614, 0.29101, 0.18374000000000001, 0.1055, 0.08898, 0.0, 0.0, 0.31584, 0.47966, 0.0, 0.10064000000000001, 0.34481, 0.27068, 0.27289, 0.2555]"
wbc,CV+,LOF,0.129,0.263,0.117,"[0.07748000000000001, 0.0, 0.24947, 0.21395, 0.14264000000000002, 0.167, 0.055, 0.0, 0.12632000000000002, 0.228, 0.0, 0.02, 0.013999999999999999, 0.0615, 0.4184, 0.05, 0.09, 0.15360000000000001, 0.0, 0.12482, 0.34207, 0.26231, 0.06417, 0.1065, 0.0, 0.0, 0.13296, 0.11412, 0.0, 0.008, 0.19831000000000001, 0.11549, 0.1925, 0.31788, 0.043500000000000004, 0.21313000000000001, 0.11097, 0.129, 0.13838, 0.05, 0.23713, 0.06488, 0.112, 0.0, 0.13815, 0.5042, 0.23082, 0.10715000000000001, 0.1115, 0.0, 0.065, 0.17749, 0.0, 0.0225, 0.19879, 0.0, 0.05688, 0.14679, 0.0025, 0.10042, 0.0, 0.23096, 0.045, 0.4405, 0.2475, 0.0, 0.09163, 0.24689, 0.07471, 0.04571, 0.23364000000000001, 0.006670000000000001, 0.20183, 0.07083, 0.0, 0.22527, 0.0, 0.27175, 0.125, 0.20304, 0.0995, 0.11898, 0.0, 0.14439000000000002, 0.19265, 0.07163, 0.18077, 0, 0.0, 0.19421, 0.02, 0.0, 0.10021000000000001, 0.27552, 0.16671, 0.36372, 0.46163, 0.16794, 0.40716, 0.21236]"
wbc,CV+,PCA,0.094,0.271,0.113,"[0.0, 0.151, 0.0, 0.0, 0.0, 0, 0.064, 0, 0, 0, 0.26781, 0, 0.13748, 0.16565, 0.10792, 0.013999999999999999, 0.21275, 0.04, 0.0, 0.0535, 0.05968, 0.13272, 0.08771, 0.27071, 0.0275, 0.0, 0.12709, 0.1495, 0.0, 0.12871, 0.02, 0.0, 0, 0.27053, 0, 0.24295, 0.33663, 0, 0.03821, 0.0, 0.12532000000000001, 0.1015, 0.0, 0.104, 0, 0.436, 0.0072699999999999996, 0, 0.0175, 0.2672, 0.161, 0.033710000000000004, 0.20972000000000002, 0.07100000000000001, 0, 0.22464, 0.02, 0.31357, 0.0, 0.0, 0.09099, 0.0, 0.11120000000000001, 0.23396, 0.0, 0.068, 0.0, 0.07542, 0.1105, 0.20263, 0.27545000000000003, 0.0, 0.19688, 0, 0.006670000000000001, 0, 0.25632, 0.31375000000000003, 0.23329, 0.032, 0, 0.02342, 0.01142, 0, 0.037720000000000004, 0, 0.0, 0.0895, 0.055, 0.0395, 0.0635, 0.0625, 0.0, 0.02071, 0.0, 0.24072, 0.28026999999999996, 0.30681, 0.28149, 0.45581]"
musk,SC,IForest,0.102,0.228,0.096,"[0.14802, 0.07, 0.11789, 0, 0.08700000000000001, 0, 0, 0.15168, 0, 0.20945, 0, 0, 0.22767, 0.28875, 0, 0.04, 0.43774, 0.24377, 0.09025, 0, 0, 0.18498, 0.15878, 0.13299, 0, 0.01426, 0, 0.23844, 0.18408, 0, 0.04658, 0.26726, 0.06046, 0.15807, 0, 0.16381, 0.11228, 0, 0.08658, 0.07183, 0.1354, 0.06071, 0.22611, 0.23573, 0.02178, 0, 0.1631, 0.17762, 0.15828, 0.26422, 0.05181, 0.00571, 0.01724, 0.27132, 0.035, 0, 0.2893, 0.21576, 0.14343, 0.18986, 0.12819, 0, 0, 0.22186, 0.14302, 0.021, 0, 0, 0, 0.17386, 0.20812, 0.19527, 0.0987, 0, 0.09993, 0, 0.056, 0.13733, 0, 0.0965, 0.19302, 0.12233, 0.06471, 0.06017, 0.1103, 0, 0.09047, 0, 0, 0.24459, 0, 0.20223, 0.17003, 0.017, 0, 0.22164, 0.17139, 0.10637, 0.14942, 0]"
musk,SC,LOF,0.176,0.235,0.046,"[0.20517, 0.16258, 0.16214, 0.1437, 0.22997, 0.17147, 0.18801, 0.20993, 0.19489, 0.24454, 0.13839, 0.1182, 0.09217, 0.1537, 0.22213, 0.23600000000000002, 0.12551, 0.25985, 0.22241, 0.18202000000000002, 0.16353, 0.09535, 0.17295, 0.17267, 0.14996, 0.08256, 0.23213, 0.23407, 0.16991, 0.23466, 0.17491, 0.11987, 0.20367, 0.12496, 0.18684, 0.21295, 0.17919000000000002, 0.21255000000000002, 0.17771, 0.20975, 0.13352, 0.18058, 0.1882, 0.17711, 0.18052, 0.12346, 0.2202, 0.05189, 0.11269, 0.14883, 0.17183, 0.09083, 0.23569, 0.18466, 0.18888, 0.07851, 0.18266000000000002, 0.1784, 0.14306, 0.1306, 0.09087, 0.16754, 0.11629, 0.17825000000000002, 0.26516, 0.26412, 0.2021, 0.12918, 0.27466, 0.26417, 0.26323, 0.2099, 0.21348, 0.18392, 0.15913, 0.20363, 0.24921000000000001, 0.22415000000000002, 0.11991, 0.20852, 0.16342, 0.21035, 0.2048, 0.14126, 0.1663, 0.18401, 0.19301000000000001, 0.13726, 0.10741, 0.17562, 0.17647, 0.13038, 0.19398, 0.20678, 0.15668, 0.17609, 0.1671, 0.14203, 0.14326, 0.13969]"
musk,SC,PCA,0.181,0.245,0.051,"[0.18874, 0.13856, 0.18722, 0.22128, 0.14794000000000002, 0.14732, 0.18199, 0.22826000000000002, 0.18315, 0.2306, 0.18499000000000002, 0.13187000000000001, 0.18433, 0.17009, 0.18723, 0.31128, 0.11736, 0.29342, 0.23097, 0.16444, 0.28995, 0.12866, 0.16483, 0.16206, 0.24785000000000001, 0.19253, 0.10045, 0.18402000000000002, 0.21702, 0.22244, 0.16462, 0.10247, 0.17977, 0.18330000000000002, 0.17789, 0.10985, 0.16168, 0.23936, 0.15921000000000002, 0.17094, 0.11099, 0.14546, 0.17906, 0.23086, 0.25116, 0.20302, 0.12074, 0.17343, 0.21912, 0.14346, 0.21624000000000002, 0.13470000000000001, 0.15298, 0.21407, 0.14238, 0.13531, 0.24002, 0.1308, 0.2121, 0.08175, 0.18634, 0.17866, 0.11628000000000001, 0.24523, 0.21687, 0.22131, 0.22163, 0.23463, 0.12944, 0.17577, 0.17804, 0.26423, 0.22625, 0.14757, 0.06429, 0.20663, 0.18605, 0.15513, 0.05897, 0.17084, 0.08317, 0.1744, 0.12157, 0.10559, 0.18907000000000002, 0.19359, 0.19967000000000001, 0.22651000000000002, 0.17054, 0.19197, 0.16874, 0.27456, 0.17392, 0.18479, 0.25215, 0.27988, 0.10872, 0.15217, 0.25333, 0.17853]"
musk,CV,IForest,0.099,0.342,0.141,"[0, 0, 0.18094, 0.34388, 0.00408, 0.32519, 0.22979, 0.32276, 0, 0.35793, 0.07, 0.3619, 0.26283, 0.39983, 0.34474, 0, 0, 0, 0.23592, 0, 0.22868, 0, 0.40042, 0.034, 0, 0.11, 0, 0, 0.20216, 0.15839999999999999, 0, 0.10478, 0.21369, 0.15666, 0.06074, 0.008579999999999999, 0, 0.17175, 0.16337000000000002, 0, 0.04763, 0, 0, 0, 0, 0.34217, 0, 0.10556, 0.12811, 0.05825, 0.061, 0.0938, 0.28476, 0.01, 0, 0.08726, 0.17905, 0, 0, 0, 0.048709999999999996, 0.66725, 0, 0.2, 0.17123, 0.01458, 0, 0, 0.11874, 0, 0, 0, 0.36269, 0.03, 0, 0, 0.04702, 0, 0.1, 0, 0, 0, 0, 0, 0.00336, 0, 0, 0, 0.48186, 0.16513, 0.06177, 0, 0, 0.46, 0, 0, 0.13, 0, 0, 0.0075]"
